file_path,conversation_id,title,create_time,update_time,language_guess,num_messages,part_index,part_count,sha256_content,size_bytes
md\20251014T1132_untitled_68ee3498-df70-8323-b47e-fafcdf7284cc.md,68ee3498-df70-8323-b47e-fafcdf7284cc,爆撃機の護衛状況,1760441524.252559,1760441697.448994,en,17,1,1,a4b94d0e3b2fbc566c37af7402dc576ccccef7478554a51a569a3ea8f54b796e,6855
md\20251014T1048_untitled_68ee2a7a-7778-8320-8aeb-74d2da616dc9.md,68ee2a7a-7778-8320-8aeb-74d2da616dc9,ブランチ運用案提案,1760438908.628758,1760439364.605339,en,10,1,1,fa221f115d54278decf1f0027d67fbfb080d0a9715605bf77baa1bb0fe91c520,7871
md\20251014T0303_untitled_68edbd29-2470-8320-9156-7429062e28c7.md,68edbd29-2470-8320-9156-7429062e28c7,事業収入と青色申告,1760410993.830553,1760437734.284952,en,35,1,1,6f47c43cbd50569261d35c97be35114eee7637978e0b6b59849f1eebef1f6a70,51562
md\20251014T0928_Windows-2016-.net10_68ee177e-da64-8323-b29f-62e8782e4e3d.md,68ee177e-da64-8323-b29f-62e8782e4e3d,Windows 2016 .net10動作,1760434085.959916,1760434326.683847,en,32,1,1,9b70bf46503439f1735b9272b8436997d0fe4963af57cecf4a5ae868f28b68e3,13040
md\20251014T0908_untitled_68ee127c-e71c-8322-8340-8292f7392653.md,68ee127c-e71c-8322-8340-8292f7392653,意図伝達と設計,1760432881.61203,1760433913.598736,en,16,1,1,e6a0646fff8883dabd8fe080b4a9fd71d8ef55871aa060005325e24b5cd61ac4,8154
md\20251014T0013_20k_68ed9591-eab4-8321-b834-a832ea83f8f5.md,68ed9591-eab4-8321-b834-a832ea83f8f5,20k行突破報告,1760400816.571858,1760409871.621717,en,40,1,1,9ffbc136a98a9242b84f689bbffe11494b971cf1024314df56fc219aced73295,31785
md\20251013T2333_untitled_68ed8bcd-4870-8320-b9ec-66054f8477ac.md,68ed8bcd-4870-8320-b9ec-66054f8477ac,再現性と報告要件,1760398382.144778,1760400690.914646,en,58,1,1,5a9e13b4888d6eb283037a8c1523453b4c437732f59272454ee7bd7424ca4bed,68471
md\20251013T2322_untitled_68ed8965-de64-8324-b8d4-a6becfd4d333.md,68ed8965-de64-8324-b8d4-a6becfd4d333,ロジックと問題解決,1760397732.893467,1760397860.33907,en,10,1,1,f774e1d1b92055c60ee4c5efab383d0082f4b6cd75da30d07c3ba9bef10b4605,3385
md\20251013T2247_untitled_68ed8175-80ec-8320-b0e0-66165062d828.md,68ed8175-80ec-8320-b0e0-66165062d828,逐次集計確認,1760395645.99047,1760396898.818381,en,35,1,1,506008b5469daab9c324087b06e321287a0ed3628a0f8dc9f348dd07ca8d8413,36449
md\20251013T1115_ksqlDB-_68ecdf15-2684-8324-9d32-f9e01cfdb6fd_p01of02.md,68ecdf15-2684-8324-9d32-f9e01cfdb6fd,ksqlDB インスタンス確認,1760354124.500771,1760369996.595617,en,245,1,2,3258e0fea19e87ee5574cb14ff54494e16faa673d81e6a5e23ee8cf139d8ed38,199597
md\20251013T1115_ksqlDB-_68ecdf15-2684-8324-9d32-f9e01cfdb6fd_p02of02.md,68ecdf15-2684-8324-9d32-f9e01cfdb6fd,ksqlDB インスタンス確認,1760354124.500771,1760369996.595617,en,245,2,2,002a1677824901754b0e238bd987c170e8d291dee6512b989d77a89ee2879ea2,10618
md\20251013T0756_untitled_68ecb082-d1c0-8324-b4b1-0a457353c823.md,68ecb082-d1c0-8324-b4b1-0a457353c823,匿名型の解決方法,1760342164.960266,1760342276.216875,en,10,1,1,a4db47c63dec738a66b3f8bca3888e50567f9209caa2386064c0496ca94cbd94,12100
md\20251013T0654_IEEE_68eca1b7-2180-8321-b416-8c7f945ca539.md,68eca1b7-2180-8321-b416-8c7f945ca539,IEEE提出準備進行中,1760338468.757634,1760338484.557418,en,7,1,1,abc4668e18712bb276f8d4a4ac927992495bacaccf6e599a03f94475fd15c9f4,1825
md\20251013T0534_untitled_68ec8f5f-5bb8-8320-8e7c-b72e893ca0ce.md,68ec8f5f-5bb8-8320-8e7c-b72e893ca0ce,動画の共有と感想,1760333675.621292,1760336830.451296,en,35,1,1,6139587b053a93c0573816dbe93114788dbd60786867ff7ef5cd46c5136bcb6f,52393
md\20251013T0343_untitled_68ec755a-4278-8322-a2b4-264ad2d47f89.md,68ec755a-4278-8322-a2b4-264ad2d47f89,高岡浩三の考え方,1760327032.084235,1760328578.902908,en,31,1,1,eafe5714a1853175526fc8e6c452fc9b8e3821fd50d6597a092c066d1d14c37c,47225
md\20251012T1756_untitled_68ebebc5-60dc-8320-bf3b-12f7d59470e1_p01of02.md,68ebebc5-60dc-8320-bf3b-12f7d59470e1,タイトル案評価,1760291786.724465,1760326950.830094,en,132,1,2,11dea1cfe24c5b7d9f09a494ad022d09be84a16512d50be7df12bd6348a4c2a3,196005
md\20251012T1756_untitled_68ebebc5-60dc-8320-bf3b-12f7d59470e1_p02of02.md,68ebebc5-60dc-8320-bf3b-12f7d59470e1,タイトル案評価,1760291786.724465,1760326950.830094,en,132,2,2,c8327c8e53aa7436baead2371e8ec11e8c7dd49a2489f9b2d5960b159e7c817a,76829
md\20251013T0201_Kafka_68ec5d7f-62c4-8320-9b75-62176d97bcfa.md,68ec5d7f-62c4-8320-9b75-62176d97bcfa,Kafkaトランザクションエラー,1760320907.927319,1760320946.731863,en,10,1,1,af50ffe3d8cc86df96e3cf6d2b6f1c7260b6b823190eac22fbb251631f9ca895,5154
md\20251013T0117_Windows11_68ec5322-a830-8322-8d13-53ebbae9c1e3.md,68ec5322-a830-8322-8d13-53ebbae9c1e3,Windows11ウィンドウ確定設定,1760318266.019236,1760318552.934989,en,15,1,1,b2f205ee42db2044d423869f9b2a479334423005d501518cf8317966f9479ef4,12582
md\20251013T0020_AI_68ec453b-ad80-8323-8799-c2fd91874bd9.md,68ec453b-ad80-8323-8799-c2fd91874bd9,AIと人間の共同作成,1760314855.335717,1760315950.947953,en,12,1,1,7996c7fdf1f53c06aea84f1f33fee3b4ac1dcef0738528598319449949764b94,12133
md\20251012T1731_Amagi-Protocol_68ebe5b2-55e0-8323-876c-9353b14b8ce4.md,68ebe5b2-55e0-8323-876c-9353b14b8ce4,Amagi Protocolの対話法,1760290288.256219,1760290384.801944,en,9,1,1,ed044bd5e352121763e3be8b8b18f2f366beac6a8e89324b84967c38d76eb38c,6371
md\20251012T1457_ToQuery-C-_68ebc199-846c-8324-8503-d47cf73d3e2d.md,68ebc199-846c-8324-8503-d47cf73d3e2d,ToQuery C# 評価実装,1760281040.116406,1760281225.086488,en,14,1,1,deeafff3da921972b0e97cd1e4bb8507391ae0c3ac4fffb18ef595027f9968bf,6993
md\20251012T1303_untitled_68eba6f8-e91c-8324-a81e-21e2b9394f70.md,68eba6f8-e91c-8324-a81e-21e2b9394f70,合意形成作業結果,1760274180.982948,1760276670.763771,en,49,1,1,70c34ebbf3aec01379acfc2e60c6320ac9ebf15d97c90f987faa6f0f23708473,81166
md\20251012T1141_untitled_68eb93c7-d7d8-8323-b75f-80ae4b18bf93.md,68eb93c7-d7d8-8323-b75f-80ae4b18bf93,エンジニアコミュニティの選び方,1760269270.228634,1760272669.553937,en,38,1,1,c9ebdc792dff4b981e0f245855405e41f90e875efefa780a81c14f835a3fee38,67745
md\20251012T1132_untitled_68eb91de-8ab8-8321-b15c-fd6fa609dfa8.md,68eb91de-8ab8-8321-b15c-fd6fa609dfa8,監視ワーカー実装計画,1760268769.045383,1760268827.739677,en,10,1,1,fb3373b31a8797b38ef8f86e71d90c6f3ba72326407c693a6bc287acd3932088,13346
md\20251012T1027_untitled_68eb8279-65f8-8324-99c0-f122ba14363f.md,68eb8279-65f8-8324-99c0-f122ba14363f,わからないルール適用,1760264844.452876,1760266336.851248,en,61,1,1,a918928592d4a1baef10e69ad65e2fe7dd2dd6c54fbda0a4dcccc22a52bb845c,55376
md\20251012T0956_-v1_68eb7b5b-32dc-8320-b690-c71b7751ca58.md,68eb7b5b-32dc-8320-b690-c71b7751ca58,鳴瀬人格定義 v1,1760263005.453462,1760264612.305041,en,57,1,1,617fe2b4ef69a446d17288fe75d696b6b14196981e4aec4e59e2df03ea373062,60981
md\20251012T0206_untitled_68eb0cd7-a82c-8322-9d5e-682d9d627f9e.md,68eb0cd7-a82c-8322-9d5e-682d9d627f9e,キューブリックの演出哲学,1760234784.047685,1760234947.891821,en,9,1,1,75e778fff312c5f1cfa6849101a8b0e7778796da17d90fe96b7e6f766fc31cfc,4831
